Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"East West Railway Company","[""Definition""]","EWR Co","Company set up by the Transport Secretary to oversee the delivery of East West Rail. In subsequent use ‘we’ or ‘us’ unless in legal documents when we are a singular entity ‘it’.","[""EWR""]","[""Requirements Management""]",,,,"Approved",,,"282","E"
"East West Railway Company Ltd","[""Definition""]","EWR Co.","The single accountable organisation that is the integrator and guiding mind, steering the Enterprise.","[""EWR""]",,,,"When used in documents please only use the term in full or the approved abbreviation 'EWR Co.'","Approved",,"EWR, East West Rail, East West Rail Co.","351","E"
"Eastern Section (EWR)","[""Definition""]",,"The existing rail network from Cambridge through to East Anglia and east coast ports. Currently being reviewed by Network Rail. Economic growth Long-term expansion of the economy’s productive potential and economic activity.","[""EWR""]",,,,,"Approved",,,"3","E"
"Easy Approach to Requirements Syntax","[""Definition""]","EARS","A mechanism to constrain textual requirements. The EARS patterns provide structured guidance that enable authors to write high quality textual requirements, by providing a set syntax (structure), with an underlying ruleset.","[""Digital Railway""]",,,,,"Approved",,,"283","E"
"Ecology","[""Definition""]",,"The study of organisms and how they interact with the environment around them.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1124","E"
"Economic Impact Assessment","[""Definition""]","ECIA, the ECIA, an ECIA","An assessment undertaken as part of the EIA, with results presented in the relevant chapter of the ES.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"284","E"
"Ecosystem Services","[""Definition""]","EcS","The direct and indirect contributions of ecosystems to human wellbeing, which have an impact on our survival and quality of life.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1125","E"
"Electric Multiple Unit","[""Definition"",""Abbreviation""]","EMU","Electric self-propelled train using continuous AC or DC current","[""Industry"",""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"285","E"
"Electrical and Plant","[""Abbreviation""]","E&P",,"[""Digital Railway""]",,,,,"Approved",,,"286","E"
"Electrical Control Officer","[""Definition""]","ECO","A role within Electrical Control Room which has control over the electrical network","[""Industry""]",,,,,"Approved",,,"287","E"
"Electrical Control Room","[""Definition""]","ECR","The location from which the electrical network controlled.","[""Digital Railway""]",,,,,"Approved",,,"288","E"
"Electricity Charges for Traction","[""Definition""]","EC4T","Network Rail charges for electric trains","[""Industry""]",,,,,"Approved",,,"289","E"
"Electricity Networks Association","[""Abbreviation""]","ENA",,"[""Electrical Engineering""]","[""Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1674","E"
"Electromagnetic Compatibility","[""Definition""]","EMC","Electromagnetic compatibility is the ability of electrical equipment and systems to function acceptably in their electromagnetic environment, by limiting the unintentional generation, propagation and reception of electromagnetic energy which may cause unwanted effects such as electromagnetic interference.","[""Industry""]",,,,,"Approved",,,"291","E"
"Electromagnetic Field","[""Abbreviation""]","EMF",,"[""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1671","E"
"Electromagnetic Interference","[""Abbreviation""]","EMI",,"[""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1672","E"
"Embankment","[""Definition""]",,"A section of railway line where the surrounding countryside is at a lower level than the line and the ground has been raised to support the line.","[""Industry""]",,,,,"Approved",,,"292","E"
"Emergency Brake","[""Definition""]","EB","The guaranteed brake used by either the driver or an on-board system to stop the train in an emergency or when other brake systems have failed. It may or may not stop the train more quickly than a service brake.","[""Digital Railway""]",,,,,"Approved",,,"293","E"
"Emergency Brake Build-up Time","[""Definition""]",,"The time delay between the emergency brake command and the required braking force being achieved.","[""Digital Railway""]",,,,,"Approved",,,"294","E"
"Emergency Brake Deceleration","[""Definition""]","EBD","The rate of deceleration expected for the train when the emergency brake is applied.","[""Digital Railway""]",,,,,"Approved",,,"295","E"
"Emergency Brake Deceleration Curve","[""Definition""]",,"A braking curve calculated by the ERTMS based on the emergency brake deceleration rate adjusted for gradient. The curve is calculated with reference to the Supervised Location for Target Speed Monitoring with a zero target speed, and with reference to the ceiling speed Emergency Brake Intervention limit at the target for Target Speed Monitoring with a non-zero target speed. Worst case odometry error is assumed during the calculations.","[""Digital Railway""]",,,,,"Approved",,,"296","E"
"Emergency Brake Intervention","[""Definition""]","EBI","An ERTMS-commanded application of the Emergency Brake in the following conditions:
For Ceiling Speed Monitoring, the estimated speed exceeds a specified margin above the Most Restrictive Speed Profile (MRSP).
For Target Speed monitoring, the estimated speed exceeds the emergency brake intervention curve.
For Release Speed Monitoring, the estimated speed exceeds the release speed.","[""Digital Railway""]",,,,,"Approved",,,"297","E"
"Emergency Brake Intervention Curve","[""Definition""]",,"A braking curve calculated by the ERTMS at a distance (dependent on Emergency Brake build-up time at estimated speed and acceleration due to traction and gradient) before the estimated speed of the train will exceed the Emergency Brake Deceleration Curve. The purpose of this curve is to make sure that the train remains within the limits of the Movement Authority and the MRSP.","[""Digital Railway""]",,,,,"Approved",,,"298","E"
"Emergency Braking Distance","[""Definition""]",,"The distance a train requires in order to stop after an emergency brake application. Varies according to speed, train type, braking characteristics, train weight, and gradient.","[""Digital Railway""]",,,,,"Approved",,,"299","E"
"Emergency Mode","[""Definition""]",,"Mode of railway operation to handle unforeseen or unplanned events which have life- threatening or extreme loss implications and require immediate attention.","[""Digital Railway""]",,,,,"Approved",,,"300","E"
"Emergency Speed Restriction","[""Definition""]","ESR","A temporary speed limit applied to a portion of track without prior notification (i.e. it does not appear in the Weekly Operating Notice (WON). See also TSR.","[""Digital Railway""]",,,,,"Approved",,,"301","E"
"Employee Assistance Program","[""Abbreviation""]","EAP",,"[""EWR"",""Health, Wellbeing, Safety & Security""]",,,"Karen Campbell",,"Approved",,,"1583","E"
"Employers Information Requirements","[""Definition""]","EIR","A document prescribed in ISO 19650 - a pre-tender document and that sets out the information to be delivered, standards and process that the supplier should adopt during the project delivery process.","[""Industry""]",,,,,"Approved",,,"302","E"
"Empty Coaching Stock","[""Definition""]","ECS","Industry term for train movements with no passengers on board","[""Industry""]",,,,,"Approved",,,"303","E"
"Enabling System","[""Definition""]",,"A system that supports a system-of-interest during its life cycle stages but does not necessarily contribute directly to its function during operation.","[""Industry""]",,"ISO15288:2015",,,"Approved",,,"304","E"
"End of Authority","[""Definition""]","EOA/EoA","Location to which the train is permitted to proceed (the boundary of its Movement Authority) and where target speed = zero.","[""Digital Railway""]",,,,,"Approved",,,"306","E"
"End to End Journey Planning","[""Definition""]",,"Refers to the customer's end to end journey, and includes the journey from the customer’s front door to their place of work, tourist attraction, school/college, etc.  Also called First Mile Last Mile (FMLM).","[""EWR""]",,,,,"Approved",,,"308","E"
"Endorsements","[""Definition""]",,"A record of a conviction for a motoring offence that is marked (endorsed) on the driving licence by the courts.
","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1402","E"
"Energy","[""Definition""]","ENE","As used in the name of the NTSN Energy (ENE)","[""Gov""]",,"NTSN",,,"Approved",,,"309","E"
"Energy Analysis","[""Definition""]",,"The use of Information Models to analyse Energy. This may include the energy required for construction and/or operation of a facility as well as the embedded energy of selected materials. Overall, this process may contribute to a facility lifecycle assessment.","[""Enterprise Architecture""]","[""BIM Activities - Analyse Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1353","E"
"Enforcing Authority","[""Definition""]",,"The organisations responsible for the enforcement of health and safety law in the UK. The Health and Safety Executive (HSE) is the Enforcing Authority for construction sites and the Office of Rail and Rail (ORR) is the Enforcing Authority for the operational railway.
","[""Gov"",""Industry"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1403","E"
"Engineering Access","[""Definition""]","EA","Network Rail’s formal rules for granting access to the network for maintenance","[""Industry""]",,,,,"Approved",,,"311","E"
"Engineering Commercial Plan","[""Abbreviation""]","ECP",,"[""EWR""]",,"referenced from SEMP",,,"Approved",,,"312","E"
"Engineering Management Plan","[""Abbreviation""]","EMP",,,"[""Requirements Management""]","Requirements Management Plan",,,"Approved",,,"1615","E"
"Engineering Management Strategy","[""Definition""]","EMS","A definition how an Engineering organisation will meet its objectives.","[""Industry""]",,,,,"Approved",,,"313","E"
"Engineering Partner","[""Definition""]","EP","EWR have appointed Arup as the Engineering Partner (2019- present) to deliver civil, structural, and geotechnical engineering. Multi-disciplinary support focusing on taking the design from option assessment and will complete pre-work to support the DCO process. Environmental approaches and assessment. Survey management.","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1282","E"
"Engineering Recommendation","[""Abbreviation""]","ER",,"[""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1675","E"
"Engineering Safety Management","[""Definition""]","ESM","The effort devoted to planning and managing safety, in proportion to the risks and complexity associated with the organisation","[""Digital Railway""]",,,,,"Approved",,,"314","E"
"Engineer's Line Reference","[""Definition""]","ELR","Provides a code to uniquely describe individual routes within Britain's national railway system. The system guarentees uniquenesss of both an ELR and mileage and an ELR and Bridge Number.","[""Industry""]",,,,,"Approved",,,"310","E"
"England’s Economic Heartlands Strategic Authority","[""Definition""]","EEHSA","Authority working with the government and partners to deliver East West Rail and the Oxford-Cambridge expressway.","[""Gov""]",,,,,"Approved",,,"315","E"
"Enhanced Data Rates for GSM Evolution (EDGE)","[""Definition""]","EDGE","A digital mobile phone technology that allows improved data transmission rates as a backward-compatible extension of GSM.","[""Digital Railway""]",,,,,"Approved",,,"316","E"
"Enhanced GSM-R Network","[""Definition""]","EGN","The GSM-R network after any necessary additions have been made to support the ERTMS requirements.","[""Digital Railway""]",,,,,"Approved",,,"317","E"
"Enhancement","[""Definition""]",,"A measure to increase or improve quality, value, or extent (for example, of habitats) and create beneficial effects.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1126","E"
"Enterprise","[""Definition""]",,"All the capabilities required to deliver our outcomes, i.e. capabilities required to: Run The Railway, Enable The Running of the Railway and Run The Organisation that Runs the Railway.","[""Enterprise Architecture""]","[""BIM""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1261","E"
"Enterprise Approach","[""Definition""]",,"A systems approach that provides the Enterprise with the necessary framework to be able to deliver a Railway that can be operated and maintained for its whole life and achieves the desired outcomes.","[""Enterprise Architecture"",""EWR"",""Industry""]","[""BIM""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1262","E"
"Enterprise Architecture","[""Definition""]","EA","Enterprise Architecture (EA) is a conceptual blueprint that defines the structure and operation of an organisation. The intent of Enterprise Architecture is to determine how an organisation can effectively achieve its current and future outcomes. This is normally generated using an Enterprise Architecture tool to create a model of the Enterprise.

Also, definition from ISO15704:2019 - From an enterprise engineering perspective:
— enterprise architecture refers to the arrangement of physical components, logical relationships, and human interactions involved in the development, implementation and operation for a programme such as enterprise integration or other enterprise related programme, usually including a set of projects; and — system architecture refers to the arrangement of physical components and logical relations of a system that is a constituent of an enterprise; for example, the computer-control-system part of an overall enterprise or product.","[""Industry"",""Health, Wellbeing, Safety & Security"",""Enterprise Architecture""]","[""Health & Safety"",""Requirements Management""]","EWR System Safety Plan","Graeme Cox",,"Approved",,,"322","E"
"Enterprise Asset Management System","[""Abbreviation"",""Acronym""]","EAMS",,"[""Industry""]","[""Asset Information Management System""]","Asset Engineering Management Upload","Harshed Bhudia",,"Approved",,,"1715","E"
"Enterprise Integration Framework","[""Definition""]",,"The framework for the Enterprise Approach that integrates the key Enterprise elements. Basically, it is everything you need in place to ensure an integrated approach to Enterprise Management and Control.","[""Industry"",""Enterprise Architecture""]","[""BIM""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"323","E"
"Enterprise Integration Team","[""Abbreviation""]","EIT",,"[""EWR"",""Enterprise Architecture""]",,,,,"Approved",,,"324","E"
"Enterprise Lifecycle","[""Definition""]",,"The EWR Co lifecycle consisting of different phases:
-	Determine
-	Develop
-	Design
-	Deliver
-	Deploy
-	Operate
-	Decommission
The lifecycle has integration gates at critical points in the lifecycle.","[""EWR"",""Enterprise Architecture"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","EWR System Safety Plan","Graeme Cox",,"Approved",,,"1551","E"
"Enterprise Model","[""Definition""]",,"A model of the Enterprise, generated using an Enterprise Architecture tool.","[""Enterprise Architecture"",""Health, Wellbeing, Safety & Security""]",,"EWR System Safety Plan","Graeme Cox",,"Approved",,,"1552","E"
"Enterprise Partner","[""Definition""]","EP","The organisation(s) that will partner with EWR Co to deliver the Enterprise.","[""EWR"",""Enterprise Architecture""]",,"referenced from SEMP",,,"Approved",,,"325","E"
"Enterprise Strategy","[""Abbreviation""]","ES",,"[""EWR"",""Enterprise Architecture""]",,,,,"Approved",,,"326","E"
"Entry into Operational Service","[""Definition""]","EiOS","Process to ensure that assets, equipment and systems are suitable, sufficient and correctly configured to provide safe operational requirements prior to introducing new services","[""Industry""]",,,,,"Approved",,,"327","E"
"Entry into Service","[""Definition""]","EiS","Process to ensure that assets, equipment and systems are suitable, sufficient and correctly configured to provide safe operational requirements prior to introducing new services","[""Industry"",""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"328","E"
"Environment Agency","[""Abbreviation""]","EA",,"[""Gov"",""Environment""]",,,"Karen Straw",,"Approved",,,"1254","E"
"Environmental Design Principles","[""Abbreviation""]","EDP",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"329","E"
"Environmental Impact Assessment","[""Definition""]","EIA","A process undertaken by EWR Co to assess the likely significant environmental impacts of the EWR project – both positive and negative – on the environment.","[""Technical terms for statutory consultations"",""Environment""]",,,,,"Approved",,,"330","E"
"Environmental Incident Category A","[""Definition""]",,"Env Category A: Any occurrence connected with EWR Co’s operations that resulted in the Regulatory Authority indicating that the environmental incident will lead to a prosecution or a warning, enforcement or prohibition notice being served","[""Environment"",""Health, Wellbeing, Safety & Security""]","[""IMS""]","Accident & Incident Reporting and Investigation Procedure","Katie Scott;Karen Straw",,"Approved",,,"1744","E"
"Environmental Incident Category B","[""Definition""]",,"Any occurrence arising out of or in connection with EWR Co operations, including Contractors, that resulted in either: 

1 – Any uncontained release of a liquid, regardless of quantity, to a drain or watercourse that has the potential for enforcement action, e.g. the discharge of harmful or silty water into a watercourse that may cause fish or aquatic plants to die; 

2 – A breach of environmental legislation or EWR Co’s authorisation limits or licence conditions, for example working within 10m of a badger sett or water course without consent; 

3 – Damage to environmentally sensitive sites, listed buildings, archaeological sites or protected trees, plants or animals, for example damage to a SSSI; 

4 – An incident that may harm the reputation of EWR Co by appearing in the national media; 

5 – An incident that may cost over £100K to clean up and restore the environment to its former condition. Including Fly Tipping.","[""Environment"",""Health, Wellbeing, Safety & Security""]","[""IMS""]","Accident & Incident Reporting and Investigation Procedure","Katie Scott;Karen Straw",,"Approved",,,"1745","E"
"Environmental Incident Category C","[""Definition""]",,"Any occurrence in connection with work carried out by or on behalf of EWR Co that resulted in either:- 

1 – a spillage of liquid that is contained and does not enter a drain or watercourse; 

2 – An accidental release of less than 20 tonnes of solid; 

3 – An instance of fly-tipping on EWR Co land that costs less than £100k to remove; 

4 – An environmental complaint, for example concerning nuisance, noise, odour or dust; 

5 – A breach of EWR Co’s environmental procedures; 

7 – Any other environmental incident","[""Environment"",""Health, Wellbeing, Safety & Security""]","[""IMS""]","Accident & Incident Reporting and Investigation Procedure","Katie Scott;Karen Straw",,"Approved",,,"1746","E"
"Environmental Policy Documents","[""Abbreviation""]","EPD",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1196","E"
"Environmental Statement","[""Definition""]","ES","A document written by EWR Co containing the results of the EIA that will be submitted by EWR Co to the Secretary of State for Transport as part of its DCO Application.","[""Technical terms for statutory consultations"",""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"331","E"
"Environmental Survey Services Framework","[""Abbreviation""]","ESSR",,"[""Environment""]","[""Survey""]",,"Karen Straw",,"Approved",,,"1759","E"
"Equality Impact Assessment","[""Definition""]","EquIA","An assessment undertaken by EWR Co under the Equality Act 2010 to assess the impact of the EWR Project on those with protected characteristics under that legislation.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"332","E"
"Ergonomic","[""Definition""]",,"Relating to or designed for efficiency and comfort in the working environment.
","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1404","E"
"Ergonomic Assessment","[""Definition""]",,"A more thorough risk assessment to be undertaken when an individual has medical requirements, and requires occupational health support.
","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1405","E"
"ERTMS National Integration Facility (ENIF)","[""Definition""]",,"Network Rail’s facility at Hitchin (Hertfordshire) for testing suppliers’ products to determine that they are fully interoperable.","[""Digital Railway""]",,,,,"Approved",,,"333","E"
"ETCS Data Only Radio","[""Definition""]","EDOR","The EDOR is trainborne data radio equipment. Its purpose is to allow communication between the ETCS Trackside and the on-board EVC over the GSM-R network. It is physically separate from, and does not interface directly with, the GSM-R voice cab mobile.","[""Digital Railway""]",,,,,"Approved",,,"334","E"
"ETCS Level 0, 1, 2, 3","[""Definition""]","L0, L1, L2, L3","L0 - ETCS-compliant locomotives or rolling stock do not interact with lineside equipment
NTC (former STM) - ETCS-compliant driving cars equipped with additional Specific Transmission Modules (STM) for interaction with legacy signalling systems.
L1 - ETCS is installed on lineside (possibly superimposed with legacy systems) and on board
L2 (signals away) - As level 1.  Euro-balises are only used for the exact train position detection. Continuous data transmission via GSM-R to Radio Block Center (RBC) give the required signalling Information to the drivers display
L3 - As level 2.  Train location /train integrity supervision no longer reliant on trackside equipment such as track circuits or axle counters.","[""Digital Railway""]",,,,,"Approved",,,"335","E"
"ETCS National Integration Facility","[""Definition""]","ENIF","A test location at Hertford, to test European Train Control System (ETCS) equipment from four suppliers.","[""Digital Railway""]",,,,,"Approved",,,"336","E"
"ETCS Onboard","[""Definition""]","ETCS OB","Refers to train mounted ETCS equipment.","[""Digital Railway""]",,,,,"Approved",,,"337","E"
"ETCS Trackside","[""Definition""]","ETCS TS","Refers to ETCS equipment that is located adjacent to the tracks..","[""Digital Railway""]",,,,,"Approved",,,"338","E"
"Euronorm","[""Abbreviation""]","EN",,,,"EWR System Safety Plan",,,"Approved",,,"1560","E"
"European Commission","[""Definition""]","EC","The executive branch of the European Union, responsible for proposing legislation, implementing decisions, upholding the EU treaties and managing the day-to-day business of the EU","[""Digital Railway""]",,,,,"Approved",,,"339","E"
"European Committee for Electro-technical Standardization","[""Definition""]","CENELEC","Designated as a European Standards Organization by the European Commission, CENELEC is a non-profit technical organization that prepares voluntary standards, which help facilitate trade between countries, create new markets, cut compliance costs and support the development of a Single European Market.","[""Industry""]",,,,,"Approved",,,"340","E"
"European Conformity","[""Abbreviation""]","CE",,"[""Gov""]",,,,,"Approved",,,"1579","E"
"European Initiative Linking Interlocking Systems","[""Definition""]","EULYNX","An initiative of a number of European Infrastructure Managers (IMs), including Network Rail. The project aspires to a mutually shared vision towards harmonisation of rail signalling systems, their technical architecture, and their functions and interfaces.","[""Digital Railway""]",,,,,"Approved",,,"341","E"
"European Norm","[""Definition""]","EN","Documents that have been ratified by one of the three European Standardization Organizations (ESOs), CEN, CENELEC or ETSI; recognized as competent in the area of voluntary technical standardization as for the EU Regulation 1025/2012.","[""Industry""]",,,,,"Approved",,,"342","E"
"European Rail Traffic Management Layer","[""Definition""]","ETML","An element (unspecified, as yet) of the ERTMS that optimises the use of a given portion of the rail network.","[""Digital Railway""]",,,,,"Approved",,,"343","E"
"European Rail Traffic Management System","[""Definition""]","ERTMS","The European Rail Traffic Management System is a system for managing rail traffic, enabling it to operate on compatible lines across European borders. It comprises all the trainborne and trackside equipment necessary for supervising and controlling, in real-time, the train operation according to the traffic conditions based on the appropriate Level of Application.","[""Digital Railway""]",,,,,"Approved",,,"344","E"
"European Train Control System","[""Definition""]","ETCS","The train control subset of the ERTMS providing a level of protection against overspeed and overrun, depending upon the capability of the lineside infrastructure.","[""Digital Railway""]",,,,,"Approved",,,"345","E"
"European Union Agency for Railways","[""Definition""]","ERA","The EU Agency for Railways is mandated to issue single safety certificates and vehicle (type) authorisations valid in multiple European countries and to ensure an interoperable European Rail Traffic Management System, in the development and implementation of the Single European Railway Area.","[""Digital Railway""]",,,,,"Approved",,,"347","E"
"European Vital Computer","[""Definition""]","EVC","Element of ERTMS / ETCS
The heart of local computing capabilities in a train driving vehicle. It is connected with external data communication, internal controls to speed regulation of the loco, location sensors and all cab devices of the driver.","[""Digital Railway""]",,,,,"Approved",,,"348","E"
"Euroradio","[""Definition""]",,"Compulsory communications unit for voice/data. ETCS Level 2 all signalling info via GSM-R, doubled with communications to the RBC.","[""Digital Railway""]",,,,,"Approved",,,"349","E"
"Evidence","[""Definition""]",,"Information or objective artefacts being offered in support of one or more claims.","[""Digital Railway""]",,,,,"Approved",,,"350","E"
"EWR Co Owner","[""Definition""]",,"Specific project owners, to include Development Director, Delivery Director, Senior Project Manager.","[""EWR"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1539","E"
"EWR Co Personnel","[""Definition""]",,"Includes employees, consultants, agency staff and our supply-chain delivery partners.","[""Health, Wellbeing, Safety & Security"",""EWR""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1540","E"
"EWR Consortium","[""Definition""]",,"East West Rail Consortium Group of local authorities and businesses working closely with the government, East West Rail Company and Network Rail.","[""EWR""]",,,,,"Approved",,,"352","E"
"EWR Programme","[""Definition""]",,"The EWR Co Programme includes the Design Consent Order (DCO), Enterprise, CS1, CS2 and CS3 sub-programmes that come together to deliver the outcomes.","[""EWR""]",,,,,"Approved",,,"353","E"
"EWR Purpose","[""Definition""]",,"Why we're here.
Connecting Lives
Enabling the Future","[""EWR""]",,"CEO",,,"Approved",,,"354","E"
"Examination Authority","[""Definition""]","EA","The Inspector or the Panel of Inspectors appointed to conduct the Examination of the DCO application. ","[""Gov"",""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"355","E"
"Exclusion","[""Definition""]",,"An ‘Exclusion’ is a specific type of assumption associated with scope, cost or schedule which will/will not be considered or taken into account as part of the EWR Programme. Exclusions are only made where there may be ambiguity as to whether the scope or costs are included or excluded.","[""Industry""]",,,,,"Approved",,,"356","E"
"Existing Conditions Modelling","[""Definition""]",,"The production of geometric and non-geometric information representing an existing site, supporting site analysis and informing the design process. Site data required for this process may including: photographs and videos; 2D or 3D surveys of the site and any existing structures; as-built record information of existing structures.","[""Enterprise Architecture""]","[""BIM - Information Model"",""BIM Activities - Plan related"",""BIM Activities - Analyse Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1339","E"
"F2508 Form","[""Definition""]",,"A form used to report RIDDOR reportable events to the HSE or ORR.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1407","F"
"Failure Modes Effects and Causes Analysis","[""Definition""]","FMECA","A method of undertaking quantitative failure analysis, utilising the creation of a series of linkages between potential failures (Failure Modes), the impact on the mission (Effects) and the causes of the failure (Causes and Mechanisms).","[""Industry""]",,,,,"Approved",,,"357","F"
"Failure Modes, Effects and Criticality Analysis","[""Abbreviation""]","FMECA",,"[""Environment"",""Digital Railway"",""EWR"",""Industry""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1199","F"
"Failure Reporting and Corrective Action System","[""Definition""]","FRACAS","A system, usually on a computer, to store details of any faults that have occurred and the remedies used to eliminate or minimise the possibility of recurrence. (See also DRACAS)","[""Digital Railway""]",,,,,"Approved",,,"358","F"
"Fairness, Respect, Equality, Diversity, Inclusion and Engagement","[""Definition""]","FREDIE","The accreditation, from the National Centre for Diversity (NCFD), recognising commitment to embedding the principles of FREDIE across a business.","[""Gov""]",,,,,"Approved",,,"359","F"
"Fatigue","[""Definition""]",,"State of tiredness leading to reduced mental and / or physical performance that can endanger the health and safety of an individual or workplace.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1408","F"
"Fatigue Risk Assessment","[""Abbreviation""]","FRA",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1585","F"
"Fault Tree Analysis","[""Definition""]","FTA","Fault tree analysis (FTA) is a graphical tool to explore the causes of system level failures. It uses boolean logic to combine a series of lower level events and it is basically a top-down approach to identify the component level failures (basic event) that cause the system level failure (top event) to occur. Fault tree analysis consists of two elements “events” and “logic gates” which connect the events to identify the cause of the top undesired event.
Fault tree analysis is an easier method than the Failure Mode and Effects Analysis (FMECA).","[""Industry""]",,,,,"Approved",,,"360","F"
"Feeder Station","[""Abbreviation""]","FS",,"[""Electrical Engineering""]","[""Traction Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1678","F"
"Field Management","[""Definition""]",,"The use of Information Models to manage field operations during the construction phase of a project. This may include the use of digital information on site to assist with construction, resource management and reporting (progress, snagging, approvals and testing).","[""Enterprise Architecture""]","[""BIM Activities - Construction Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1357","F"
"Filtering Facepiece","[""Abbreviation""]","FFP","Class 2 and 3","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1584","F"
"Final Investment Decision","[""Definition""]","FID","The point in the capital project planning process when the decision to make major financial commitments is taken.","[""Industry""]",,,,,"Approved",,,"361","F"
"Financial Year","[""Definition""]","FY","A period of twelve months, used by government, business, and other organizations in order to calculate their budgets, profits, and losses. In the UK it runs from April to the following March.","[""Project Management Office""]",,,"Aleksandra Arnista",,"Approved",,,"1723","F"
"Findings","[""Definition""]",,"Results of the evaluation of the collected audit / inspection evidence, against audit / inspection criteria.  These indicate conformity or nonconformity and can lead to the identification of opportunities for improvement.","[""Health, Wellbeing, Safety & Security""]","[""IMS"",""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1409","F"
"Firm Service Capacity","[""Abbreviation""]","FSC",,"[""Electrical Engineering""]","[""Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1679","F"
"First Line of Intervention","[""Definition""]","FLOI","An ERTMS intervention curve calculated as the more restrictive of the Service Brake Intervention curve targeted at the End of Authority or the Emergency Brake Intervention curve targeted at the Supervised Location. If the End of Authority and Supervised Location are close to each other and the two brake curves have different gradients, there is the possibility of the curves crossing over, resulting in an FLOI curve. NB This term has been removed from Baseline 3.","[""Digital Railway""]",,,,,"Approved",,,"362","F"
"First Mile Last Mile","[""Definition""]","FMLM","Alternative term for End to End Journey Planning","[""EWR""]",,,,,"Approved",,,"363","F"
"Fixed Telecommunications Network","[""Definition""]","FTN","Network Rail’s ‘Fixed Telecommunications Network’ provides a platform to support its ongoing GSM-R (Global System for Mobile Communications – Rail) network and operational railway circuits across England, Scotland and Wales.","[""Digital Railway""]",,,,,"Approved",,,"364","F"
"Fixed Telecommunications Network (Next Generation)","[""Definition""]","FTN(X)/FTNx","Similar to the FTN but with the additional enhancements to its specification to make use of Internet Protocol (IP) technologies.","[""Digital Railway""]",,,,,"Approved",,,"365","F"
